ID,State,Date,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response
165443,North Dakota,2024-01-27 06:11:16,Tuesday,05:49:45,Rainy,Wet,Dawn,Highway,Roundabout,Rear-end collision,Car,Adult,1,3,,5.563376129,7.074107661,289.2758257,8.516025528,0.8019461767,95,18.22287434
165444,Iowa,2024-01-26 19:22:46,Saturday,12:48:53,Stormy,Muddy,Night,Rural,Underpass,Rollover,Truck,Adult,1,1,65,3.707207076,3.038157864,915.3897184,3.443516532,0.4739826733,75,15.14177075
165445,Rhode Island,2024-02-22 09:26:53,Tuesday,08:18:51,Sunny,Icy,Daylight,Freeway,T-Junction,Rollover,Pedestrian,Adult,2,3,63,2.299371942,5.753110856,856.2633617,7.773356104,0.4233259441,75,9.971629322
165446,Delaware,2024-01-05 13:27:08,Monday,21:51:12,Sunny,Icy,Dawn,Highway,Underpass,Side collision,Car,Young Adult,1,1,61,1.257413574,9.991771342,265.1477388,,0.9290531587,22,24.60562163
165447,Idaho,2024-02-19 06:07:43,Saturday,10:35:57,Snowy,Wet,Dusk,Freeway,Underpass,Head-on collision,Pedestrian,Young Adult,3,3,69,5.028102823,5.763674943,382.1112097,4.272399901,0.7404858945,50,20.51847352
165448,Florida,2024-02-16 08:59:01,Friday,06:23:04,Rainy,Wet,Dawn,Urban,Underpass,Rollover,Car,Adult,4,1,61,2.720686723,4.681899736,118.9873845,4.026032578,0.5176744485,51,24.53625099
165449,Florida,2024-01-11 22:24:39,Wednesday,16:26:10,Snowy,Dry,Night,Highway,Overpass,Rollover,Truck,Adult,3,1,32,8.370269319,9.853947124,726.8598416,,0.1889411096,75,29.0124922
165450,Minnesota,2024-01-20 14:15:11,Monday,02:11:27,Foggy,Snowy,Dusk,Highway,Overpass,Side collision,Motorcycle,Adult,3,3,46,3.169704761,4.982689691,326.6355094,8.24560378,0.8829524052,99,16.70851681
165451,Utah,2024-01-09 15:28:02,Saturday,17:03:03,Foggy,Wet,Night,Highway,Intersection,Rollover,Bicycle,Senior,4,1,37,9.167358804,2.207262901,148.1419836,7.989173065,0.5132049794,64,
165452,New Hampshire,2024-02-05 07:45:27,Monday,13:15:15,Sunny,Dry,Night,Highway,Crossroads,Run-off-road,Motorcycle,Young Adult,2,1,45,0.2634938584,0.6478562498,164.5983576,6.932493036,0.430518275,,26.3617468
165453,Kansas,2024-02-18 02:49:19,Wednesday,05:13:23,Sunny,Icy,Daylight,Rural,Intersection,Head-on collision,Bicycle,Senior,1,1,59,9.771595569,1.651302214,276.3477942,8.651859477,0.583077816,8,25.04184633
165454,Colorado,2024-02-25 23:02:37,Monday,17:30:27,Snowy,Wet,Daylight,Street,Roundabout,Head-on collision,Car,Senior,1,0,32,3.251192118,8.335448129,661.8524522,3.238407871,0.3322024479,7,14.5107723
165455,Maryland,2024-02-22 23:56:06,Thursday,16:48:46,Rainy,Wet,Dusk,Street,Roundabout,Head-on collision,Pedestrian,Teenager,3,2,66,1.905307008,8.727369444,371.616629,5.524963144,0.9601822765,42,21.93481558
165456,Pennsylvania,2024-01-27 18:15:32,Saturday,03:57:23,Rainy,Icy,Daylight,Rural,Crossroads,Side collision,Truck,Teenager,2,3,44,2.618646532,3.172757932,243.6737077,3.206312284,0.3742560274,18,19.87517707
165457,Oklahoma,2024-02-19 01:11:58,Monday,12:36:33,Stormy,Icy,Dusk,Highway,Intersection,Rollover,Truck,Senior,3,1,,0.9170362222,9.424163063,166.2878497,4.773072087,0.8605089585,99,18.58939965
165458,Florida,2024-01-01 09:28:08,Wednesday,06:53:50,,Muddy,Dusk,Street,Underpass,Cyclist involved,Car,Adult,4,2,34,3.908675196,7.548358028,777.9679941,7.283166634,0.1515950703,85,12.52776056
165459,California,2024-02-28 16:42:44,Tuesday,06:56:51,Sunny,Icy,Daylight,Street,Overpass,Side collision,Bicycle,Young Adult,1,2,50,5.682200766,6.290416089,457.2579829,8.174180006,0.6397942585,,29.11278544
165460,Alabama,2024-01-02 16:47:15,Sunday,16:31:53,Snowy,Dry,Night,Rural,Crossroads,Run-off-road,Motorcycle,Adult,1,2,48,3.81100686,4.210455457,307.6645185,7.756307287,0.2934358618,43,12.01500745
165461,Georgia,2024-02-27 15:14:09,Wednesday,11:34:05,Stormy,Muddy,Dusk,Rural,Intersection,Side collision,Bicycle,Young Adult,4,1,50,1.89621875,3.36545167,787.2267723,,0.8601660699,83,5.473219721
165462,Minnesota,2024-02-05 12:47:15,Monday,13:47:03,Rainy,Muddy,Dawn,Street,Roundabout,Run-off-road,Truck,Young Adult,4,1,33,3.874341808,5.908982435,769.7192713,8.480209561,0.6942109712,71,9.000628722
165463,Idaho,2024-02-07 21:45:35,Monday,08:44:23,Rainy,Wet,Dawn,Freeway,T-Junction,Pedestrian involved,Bicycle,Teenager,2,3,36,1.401499314,7.815671457,487.3809882,3.051074734,0.1002610157,40,
165464,New York,2024-01-31 05:06:42,Wednesday,20:41:12,Foggy,Snowy,Dusk,Street,Underpass,Pedestrian involved,Pedestrian,Young Adult,2,0,,6.948208594,4.933199326,918.8710252,8.1908829,0.8117543058,42,
165465,Ohio,2024-02-10 07:44:04,Thursday,20:04:15,Foggy,Muddy,Night,Street,Intersection,Rollover,Car,Adult,1,2,67,9.416454529,3.656158451,877.5765184,,0.5282630668,52,16.52053061
165466,Pennsylvania,2024-02-07 10:27:09,Wednesday,07:46:19,Sunny,Muddy,Dawn,Rural,Intersection,Side collision,Bicycle,Young Adult,5,3,35,7.980434214,8.735172943,522.0302914,8.297227185,0.5526622867,41,
165467,Washington,2024-02-11 21:26:31,Friday,10:53:45,Snowy,Wet,Dawn,Urban,Underpass,Rear-end collision,Motorcycle,Adult,4,2,,4.895683835,7.550391775,748.6674531,4.152339565,0.3707096511,76,8.576608912
165468,Tennessee,2024-01-29 13:49:35,Wednesday,15:31:07,Rainy,Icy,Daylight,Urban,Intersection,Rollover,Bicycle,Young Adult,3,2,51,9.681318444,1.471015577,425.3871437,4.505865571,0.3901264927,60,10.82286803
165469,Maryland,2024-01-31 19:36:33,Thursday,20:27:31,,Wet,Dawn,Street,T-Junction,Rear-end collision,Motorcycle,Teenager,4,3,48,8.861032502,3.33441406,232.8201579,3.206607456,0.9688218853,95,9.144000018
165470,Mississippi,2024-02-25 00:12:06,Monday,20:23:26,Snowy,Wet,Daylight,Street,Overpass,Pedestrian involved,Truck,Teenager,4,1,61,1.635400193,2.015206625,772.5010541,5.107377285,0.6927825503,,25.9014472
165471,Hawaii,2024-01-13 17:00:22,Monday,21:50:44,,Wet,Dawn,Highway,Intersection,Rollover,Motorcycle,Senior,4,3,58,9.170899192,0.7431507709,511.3588314,7.159819936,0.5192320607,88,14.66676311
165472,West Virginia,2024-02-28 17:18:44,Wednesday,12:38:51,Sunny,Dry,Night,Freeway,T-Junction,Rear-end collision,Truck,Young Adult,1,1,35,1.771382733,0.6744595892,488.4007844,3.353020989,0.8021476913,59,8.158545782
165473,Kansas,2024-02-06 01:26:42,Saturday,12:46:32,Stormy,Snowy,Dusk,Urban,Overpass,Rollover,Bicycle,Teenager,1,0,60,1.984019746,9.132044021,402.9131784,5.373256026,0.1400458403,77,19.25101889
165474,South Carolina,2024-02-26 14:31:50,Monday,02:10:53,Sunny,Muddy,Night,Freeway,Roundabout,Cyclist involved,Motorcycle,Young Adult,5,0,30,1.349304041,5.756542455,825.046087,6.994510261,0.3506533991,42,
165475,Georgia,2024-02-20 16:40:10,Tuesday,21:38:58,Rainy,Icy,Night,Street,,Side collision,Truck,Senior,1,3,48,7.185300682,4.777826327,592.2312636,,0.6087954684,66,
165476,Connecticut,2024-02-26 05:33:02,Thursday,19:15:56,Snowy,Dry,Dawn,Highway,Crossroads,Cyclist involved,Motorcycle,Senior,5,2,63,3.535856197,4.983632191,739.5098194,3.111648021,0.883728362,56,26.70192399
165477,Florida,2024-02-23 16:32:39,Thursday,05:01:40,Foggy,Wet,Daylight,Highway,Intersection,Rear-end collision,Car,Senior,2,2,,7.438358301,9.772346174,498.9279207,6.854176601,0.1281706634,76,25.27128353
165478,Florida,2024-01-08 21:53:07,Tuesday,12:32:29,Stormy,Wet,Night,Rural,Crossroads,Pedestrian involved,Bicycle,Young Adult,1,1,30,3.733968215,3.553210725,866.2042225,3.577765073,0.6332525347,71,9.875886016
165479,Colorado,2024-01-11 13:09:24,Friday,23:30:51,Snowy,Muddy,Daylight,Highway,T-Junction,Pedestrian involved,Bicycle,Senior,1,2,59,6.273264428,9.614786442,530.0046939,,0.5224771353,95,28.97506295
165480,Connecticut,2024-02-17 14:52:40,Monday,04:17:59,Rainy,Icy,Dusk,Urban,Roundabout,Pedestrian involved,Pedestrian,Senior,2,3,61,4.539553318,7.665590892,242.7708746,8.790571811,0.6793710103,79,14.09805426
165481,Washington,2024-01-29 04:12:54,Wednesday,21:03:26,Rainy,Dry,Daylight,Rural,Roundabout,Rear-end collision,Motorcycle,Senior,4,0,65,9.776050198,8.128948039,337.365333,9.701662051,0.2643890348,67,6.751993118
165482,Hawaii,2024-01-19 02:08:00,Friday,20:50:17,Stormy,Icy,Dawn,Street,Overpass,Head-on collision,Motorcycle,Adult,3,3,62,1.083707454,7.668953309,654.6885301,8.576086852,0.7888289046,11,13.10374567
165483,Kansas,2024-01-14 23:06:09,Thursday,16:14:37,Foggy,Icy,Night,Urban,Overpass,Run-off-road,Car,Teenager,3,0,68,0.4908561086,2.594393528,852.6070206,5.359907425,0.7533522654,93,21.6657448
165484,Massachusetts,2024-01-02 02:01:40,Monday,13:05:26,Sunny,Muddy,Dawn,Freeway,,Rear-end collision,Car,Senior,4,3,31,2.987192811,2.920483263,381.1526138,8.626619848,0.9016632775,,26.0310138
165485,Massachusetts,2024-01-22 02:04:47,Sunday,13:30:00,,Dry,Dusk,Urban,Roundabout,Rollover,Car,Teenager,2,2,58,7.762099439,1.596337086,953.8205561,5.041127229,0.8133570162,32,10.57941406
165486,Vermont,2024-01-08 14:40:09,Monday,09:45:18,Foggy,Snowy,Daylight,Rural,T-Junction,Run-off-road,Truck,Adult,4,3,56,5.160183573,1.103875786,992.7274241,6.572175094,0.9642742344,67,29.87734336
165487,Idaho,2024-02-12 06:00:48,Sunday,20:05:47,Rainy,Muddy,Dawn,Freeway,T-Junction,Cyclist involved,Pedestrian,Adult,5,2,50,2.588331586,5.457915297,412.7140148,5.456640344,0.1958265587,37,22.26196033
165488,West Virginia,2024-02-16 14:07:36,Thursday,00:32:53,Foggy,Icy,Dawn,Rural,T-Junction,Run-off-road,Pedestrian,Senior,3,3,30,2.789676866,2.113591875,740.7666858,7.023614254,0.6235322487,8,18.79808746
165489,Oregon,2024-01-03 12:21:34,Monday,03:18:00,Rainy,Dry,Daylight,Highway,Roundabout,Side collision,Car,Teenager,5,0,54,2.769710971,0.4038869201,676.0140232,8.659745734,0.4241464865,37,
165490,Missouri,2024-02-27 00:42:43,Friday,21:31:02,Foggy,Wet,Daylight,Urban,T-Junction,Head-on collision,Car,Teenager,2,2,58,5.044230084,4.799590998,325.7767114,4.690718774,0.1375228335,30,14.81084104
165491,Alaska,2024-01-01 21:27:29,Sunday,01:06:34,Stormy,Wet,Dusk,Freeway,Intersection,Run-off-road,Bicycle,Senior,2,2,35,6.014917139,8.223628598,461.4476903,4.413938451,0.5974694373,41,16.73634858
165492,Texas,2024-02-07 15:08:04,Friday,06:26:32,Rainy,Dry,Daylight,Freeway,Roundabout,Rollover,Pedestrian,Young Adult,3,2,31,9.617824609,8.726292282,290.5756264,8.133402319,0.9839624769,22,7.585836723
165493,Maryland,2024-01-05 18:20:00,Tuesday,09:00:59,Rainy,Icy,Dusk,Urban,Crossroads,Pedestrian involved,Motorcycle,Adult,2,0,51,7.882792398,1.534167693,103.7757022,5.57674111,0.4498912273,3,29.02275244
165494,Oklahoma,2024-02-12 19:52:06,Friday,09:52:53,Stormy,Icy,Night,Highway,Roundabout,Side collision,Motorcycle,Adult,2,1,51,1.385620818,7.739611461,638.9141705,9.857583089,0.2168331384,37,17.39968212
165495,Iowa,2024-01-21 04:00:27,Thursday,09:37:06,Sunny,Dry,Dusk,Highway,Underpass,Rear-end collision,Car,Adult,3,2,69,2.190033432,2.516160275,561.7044781,4.505524471,0.831729754,97,13.3329181
165496,California,2024-02-20 17:51:49,Saturday,20:25:01,Foggy,Dry,Daylight,Rural,Crossroads,Cyclist involved,Car,Adult,3,1,,4.28575454,2.378741506,161.1351424,3.78592892,0.8128786663,17,9.833310583
165497,New Jersey,2024-01-09 13:28:08,Wednesday,13:18:38,Sunny,Dry,Daylight,Freeway,Underpass,Cyclist involved,Motorcycle,Young Adult,2,1,53,9.299299875,5.644877129,674.4500119,3.289475388,0.6001554986,1,13.2664793
165498,South Dakota,2024-01-29 07:02:17,Thursday,02:09:37,Stormy,Dry,Daylight,Street,Overpass,Side collision,Motorcycle,Adult,3,1,49,1.158822298,6.461111448,537.3488462,5.91046806,0.3483615396,29,18.99480483
165499,Hawaii,2024-02-09 21:01:42,Wednesday,05:44:04,Stormy,Icy,Dusk,Freeway,,Rear-end collision,Motorcycle,Adult,2,3,49,9.701770163,0.2305193223,780.7517659,8.527477872,0.2913137778,,27.86733525
165500,Georgia,2024-01-31 03:50:27,Wednesday,20:33:21,Foggy,Muddy,Daylight,Street,Overpass,Cyclist involved,Truck,Teenager,1,0,65,3.982682622,4.578181952,280.5431561,5.034720633,0.3481170485,,10.02149681
165501,Hawaii,2024-01-01 20:36:04,Tuesday,06:13:18,Stormy,Icy,Dawn,Freeway,T-Junction,Cyclist involved,Motorcycle,Adult,4,0,56,7.268690355,7.273092887,456.9481743,7.531804194,0.3533180649,19,14.33066433
165502,Maryland,2024-02-01 02:50:12,Wednesday,00:22:59,,Snowy,Dusk,Freeway,Roundabout,Side collision,Pedestrian,Adult,1,1,,0.6211788334,7.510937626,954.9081632,7.372368858,0.5910599546,,18.46721759
165503,Maine,2024-02-26 08:28:42,Tuesday,13:05:24,Stormy,Wet,Night,Highway,Crossroads,Cyclist involved,Pedestrian,Senior,5,0,46,0.6901962227,3.559934492,840.9216106,8.401260945,0.6213947416,82,25.296957
165504,Ohio,2024-01-11 22:54:57,Wednesday,06:56:48,Snowy,Dry,Night,Urban,Intersection,Cyclist involved,Pedestrian,Senior,1,2,58,1.974323987,0.721954281,862.0044925,4.983628894,0.7625767287,67,5.251636937
165505,Virginia,2024-02-04 13:10:46,Sunday,16:55:16,Rainy,Snowy,Daylight,Rural,Intersection,Run-off-road,Motorcycle,Senior,4,1,68,9.403687881,9.119720495,258.7049916,8.462101324,0.7669805507,81,
165506,Virginia,2024-02-01 10:58:22,Thursday,15:26:15,Sunny,Snowy,Daylight,Rural,Overpass,Run-off-road,Motorcycle,Adult,3,1,56,1.716646169,2.579442636,981.4258181,5.134839855,0.5437354682,0,
165507,Oklahoma,2024-02-26 22:42:37,Tuesday,03:21:17,Foggy,Dry,Dusk,Highway,Intersection,Head-on collision,Car,Adult,1,3,30,7.616930623,8.254259512,741.729943,3.845190442,0.7341306972,,11.94667689
165508,Pennsylvania,2024-01-12 02:22:01,Tuesday,02:30:08,Foggy,Muddy,Night,Highway,Roundabout,Side collision,Truck,Adult,1,0,69,0.428889374,5.752713375,141.6588308,,0.6583456083,44,8.630441823
165509,Tennessee,2024-01-21 14:55:56,Saturday,04:38:04,Stormy,Dry,Daylight,Rural,Underpass,Side collision,Pedestrian,Teenager,4,3,55,1.88175118,5.53570464,549.8223801,9.548180793,0.818553661,96,28.45430479
165510,North Dakota,2024-01-08 07:55:39,Saturday,05:48:03,Sunny,Dry,Dawn,Freeway,Overpass,Rollover,Motorcycle,Senior,5,3,45,3.403464449,6.368924198,686.4616431,,0.3572662948,52,5.31340657
165511,Arizona,2024-02-21 14:19:09,Thursday,23:15:43,Rainy,Dry,Dawn,Highway,T-Junction,Head-on collision,Motorcycle,Young Adult,5,1,66,0.3815649636,2.409900173,754.4184999,7.820540645,0.2130175224,20,9.721609808
165512,Georgia,2024-02-17 02:16:19,Wednesday,07:32:40,Snowy,Snowy,Dusk,Rural,,Side collision,Pedestrian,Teenager,4,2,39,7.145168069,9.727447602,843.8422441,6.167347028,0.6926641933,87,18.31579042
165513,South Dakota,2024-01-25 22:10:21,Tuesday,05:44:43,Snowy,Muddy,Daylight,Rural,Crossroads,Side collision,Pedestrian,Teenager,2,1,58,7.005291076,9.121160179,166.1221074,3.687877127,0.6419061011,93,23.68455791
165514,Indiana,2024-01-29 13:22:14,Wednesday,04:28:18,Snowy,Dry,Dusk,Urban,Roundabout,Run-off-road,Pedestrian,Adult,3,0,40,5.94988596,6.595579494,265.1206942,6.444573131,0.3130755131,71,17.15484232
165515,California,2024-01-25 22:35:04,Sunday,21:18:19,Snowy,Icy,Dawn,Freeway,Overpass,Pedestrian involved,Bicycle,Teenager,1,3,55,1.623690219,2.473316382,695.4507213,,0.7919681664,81,7.222058349
165516,Michigan,2024-01-21 21:39:09,Thursday,13:05:13,Snowy,Muddy,Daylight,Rural,Crossroads,Side collision,Motorcycle,Adult,4,0,43,2.483851502,5.529709475,666.83489,4.60880947,0.469054438,53,14.5509622
165517,Delaware,2024-02-05 11:19:09,Tuesday,08:26:45,Rainy,Dry,Dawn,Highway,,Rear-end collision,Truck,Adult,4,1,63,8.748099527,4.356590709,889.7077186,7.166643769,0.4064491759,93,
165518,Arizona,2024-01-20 07:23:26,Friday,19:02:21,Rainy,Dry,Dusk,Rural,Roundabout,Cyclist involved,Pedestrian,Teenager,1,0,37,7.644920629,6.918704095,670.5677746,8.408559715,0.7373132689,89,29.02620983
165519,Texas,2024-02-22 07:41:18,Monday,12:48:35,Rainy,Dry,Daylight,Urban,Roundabout,Pedestrian involved,Motorcycle,Young Adult,1,3,70,3.511599006,5.595658188,863.53072,7.049043839,0.7734301243,62,8.672665083
165520,Arkansas,2024-01-14 21:38:34,Sunday,16:11:19,Rainy,Icy,Dusk,Highway,T-Junction,Pedestrian involved,Truck,Adult,2,3,39,9.173893516,1.661848306,412.8937063,5.909645384,0.533404015,0,
165521,Montana,2024-02-16 22:47:38,Saturday,14:34:12,Snowy,Snowy,Night,Freeway,,Run-off-road,Truck,Senior,3,1,58,3.24105727,2.533774447,164.04582,6.599368048,0.189044025,17,15.07747909
165522,West Virginia,2024-01-19 08:10:14,Friday,00:17:54,Rainy,Muddy,Daylight,Freeway,Roundabout,Rollover,Motorcycle,Teenager,3,2,64,8.558358656,1.461742042,825.9282594,9.564077919,0.8191082764,28,26.54601035
165523,South Carolina,2024-02-22 04:09:32,Friday,12:12:56,Snowy,Icy,Dusk,Rural,Overpass,Rollover,Motorcycle,Senior,4,2,39,5.17304075,3.418013241,820.5434609,9.342291776,0.4457510439,89,27.43603407
165524,Utah,2024-02-20 20:29:49,Sunday,06:40:50,Rainy,Dry,Dawn,Rural,Underpass,Head-on collision,Bicycle,Teenager,4,1,39,7.472774488,4.356685178,766.4054874,7.496066222,0.1881071693,60,26.10947038
165525,Alaska,2024-01-12 07:27:15,Monday,23:16:46,Rainy,Snowy,Dusk,Freeway,T-Junction,Rear-end collision,Truck,Adult,2,2,33,5.11223712,3.197563076,161.6676603,3.087748231,0.8302406867,17,
165526,West Virginia,2024-01-16 14:11:18,Tuesday,20:58:09,Snowy,Wet,Daylight,Urban,T-Junction,Cyclist involved,Car,Senior,2,2,37,1.756702834,5.42196679,827.7043094,,0.14789909,86,19.85024611
165527,South Dakota,2024-01-20 19:12:42,Tuesday,18:01:47,Snowy,Icy,Dawn,Highway,T-Junction,Side collision,Bicycle,Senior,1,2,59,9.044280808,0.8648321046,322.0150603,6.524325475,0.6692715709,83,27.49568638
165528,California,2024-02-12 04:14:13,Friday,13:29:14,Foggy,Snowy,Daylight,Freeway,Crossroads,Run-off-road,Car,Senior,1,1,63,7.831227942,6.004298341,972.5542508,5.578939719,0.2168296208,42,10.82016012
165529,Missouri,2024-01-16 01:22:48,Tuesday,06:34:08,Rainy,Muddy,Dusk,Freeway,Intersection,Pedestrian involved,Pedestrian,Young Adult,1,1,53,6.774471015,0.978380238,248.8245329,4.203826106,0.9011952339,39,21.50076839
165530,Washington,2024-01-02 15:54:41,Wednesday,15:56:35,Sunny,Icy,Dusk,Rural,T-Junction,Cyclist involved,Motorcycle,Senior,5,1,36,6.026846262,6.302801633,591.8945463,3.361014292,0.682362774,94,27.74687916
165531,North Carolina,2024-02-16 05:58:26,Wednesday,09:58:54,Snowy,Icy,Night,Highway,Roundabout,Cyclist involved,Truck,Young Adult,2,0,55,3.661663884,6.543545576,769.1691048,7.888448352,0.4766374976,2,13.1557896
165532,Utah,2024-01-01 15:21:50,Thursday,16:02:47,Rainy,Dry,Daylight,Highway,Overpass,Cyclist involved,Bicycle,Teenager,5,1,62,9.316241051,9.274530526,739.7280857,7.62165402,0.5765164865,78,20.73046688
165533,California,2024-02-01 19:08:53,Friday,15:03:34,Rainy,Icy,Daylight,Street,,Cyclist involved,Pedestrian,Senior,4,0,37,0.1381777045,4.486939126,485.6473198,5.707805957,0.5691718471,18,19.16796618
165534,California,2024-02-01 15:02:39,Friday,01:38:36,Snowy,Dry,Night,Urban,T-Junction,Head-on collision,Pedestrian,Adult,3,1,39,4.149734748,4.363254417,648.1107102,8.500690049,0.8844106147,38,16.70323827
165535,Indiana,2024-01-21 15:50:51,Tuesday,00:05:59,Foggy,Icy,Daylight,Rural,Overpass,Rear-end collision,Motorcycle,Adult,2,3,62,8.892610206,2.127162729,688.5427429,6.914410082,0.8196044288,94,8.552036894
165536,Idaho,2024-01-11 04:01:32,Saturday,22:26:09,Snowy,Wet,Night,Rural,Underpass,Rollover,Bicycle,Teenager,4,1,65,8.544481393,7.940191685,412.8326283,7.53346246,0.6865427956,75,22.18413163
165537,South Dakota,2024-01-08 21:24:18,Wednesday,18:24:02,Sunny,Snowy,Night,Highway,Overpass,Rollover,Car,Adult,4,3,,6.832978925,5.323778008,120.0483575,4.829136605,0.2807731982,9,29.18342531
165538,Ohio,2024-02-23 23:12:40,Tuesday,00:15:53,Sunny,Wet,Night,Freeway,Intersection,Run-off-road,Bicycle,Adult,1,1,69,3.761010189,8.894930269,366.8513973,5.106374394,0.4213334008,44,20.98721982
165539,Maine,2024-01-29 07:55:19,Saturday,22:51:05,Rainy,Muddy,Dawn,Highway,T-Junction,Side collision,Motorcycle,Senior,4,0,47,5.085369025,5.839374307,436.1533378,4.741053175,0.2843301531,49,8.467497567
165540,Tennessee,2024-02-18 07:49:51,Wednesday,20:34:43,Stormy,Snowy,Daylight,Street,Intersection,Run-off-road,Pedestrian,Senior,2,1,51,5.266420506,3.515980258,282.1958731,3.79702236,0.3061825003,25,15.40032174
165541,Iowa,2024-02-11 17:12:50,Friday,07:10:59,Stormy,Wet,Dusk,Urban,Intersection,Pedestrian involved,Car,Young Adult,5,0,62,5.185694641,8.185636147,396.344636,3.79983677,0.6278558533,56,15.46104845
165542,West Virginia,2024-02-26 02:56:47,Monday,00:06:12,Stormy,Wet,Dusk,Highway,Underpass,Rear-end collision,Motorcycle,Adult,5,1,48,6.580029805,2.042869498,597.6968202,,0.7911743195,89,24.87459764
165543,Georgia,2024-02-27 10:46:06,Monday,08:52:22,Stormy,Icy,Daylight,Highway,Intersection,Cyclist involved,Truck,Senior,5,2,67,8.723685839,8.70548998,796.4015676,9.537236509,0.4028668328,7,22.40520149
165544,Virginia,2024-02-25 09:31:45,Monday,16:19:35,,Muddy,Daylight,Freeway,Underpass,Head-on collision,Pedestrian,Young Adult,4,3,45,4.954407401,9.89574847,633.7519381,9.98759973,0.5943936542,,27.62739034
165545,Arkansas,2024-02-10 01:32:05,Tuesday,09:53:28,Stormy,Dry,Dawn,Street,T-Junction,Pedestrian involved,Car,Teenager,4,1,,1.240542605,9.895824511,431.1094588,8.151356438,0.8444118984,27,12.18639082
165546,Indiana,2024-01-28 19:12:40,Wednesday,01:47:27,,Wet,Daylight,Urban,Overpass,Side collision,Pedestrian,Young Adult,1,3,66,1.131837523,0.3814304584,595.5505833,9.744843544,0.199706511,21,
165547,Arkansas,2024-02-10 19:55:25,Wednesday,13:53:15,Sunny,Icy,Dusk,Freeway,Intersection,Run-off-road,Bicycle,Senior,2,1,60,6.174519407,4.167443644,435.6182104,8.061318461,0.3353312816,40,29.92790987
165548,Illinois,2024-01-25 11:53:07,Friday,01:24:35,Snowy,Dry,Dawn,Urban,Intersection,Side collision,Truck,Young Adult,1,3,39,5.673548181,3.754676061,556.7161931,7.892762532,0.534989138,47,27.42115794
165549,Rhode Island,2024-01-13 10:32:45,Thursday,17:04:11,Rainy,Dry,Daylight,Highway,Overpass,Rollover,Car,Young Adult,3,1,55,8.369807899,6.045063335,488.0281114,3.745467182,0.3787868515,10,10.97283888
